epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,2270.02,0.8719,0.54703,1.18728,0.91155,0.86883,0.92182,0.6299,1.04883,0.57882,1.21729,0.0011917,0.0011917,0.0011917
146,2285.27,0.88569,0.55007,1.19323,0.93534,0.84384,0.91857,0.59571,1.15313,0.61444,1.31968,0.0011884,0.0011884,0.0011884
147,2300.5,0.88634,0.56408,1.19458,0.90126,0.8656,0.91645,0.62438,1.08188,0.57962,1.2411,0.0011851,0.0011851,0.0011851
148,2315.72,0.88265,0.55185,1.18743,0.92645,0.86465,0.92096,0.62306,1.10472,0.58786,1.27306,0.0011818,0.0011818,0.0011818
149,2330.91,0.87128,0.54432,1.18857,0.95332,0.82607,0.92004,0.61393,1.08635,0.59934,1.23112,0.0011785,0.0011785,0.0011785
150,2346.29,0.88181,0.54797,1.17493,0.9295,0.8394,0.91806,0.61127,1.112,0.59673,1.2644,0.0011752,0.0011752,0.0011752
151,2361.61,0.86963,0.53998,1.17711,0.92126,0.85542,0.92079,0.63116,1.04125,0.60094,1.20557,0.0011719,0.0011719,0.0011719
152,2376.85,0.85855,0.52956,1.17505,0.91519,0.85489,0.91742,0.60495,1.11921,0.61398,1.29674,0.0011686,0.0011686,0.0011686
153,2392.09,0.87575,0.54168,1.18639,0.89088,0.87553,0.91747,0.63022,1.07757,0.59448,1.24333,0.0011653,0.0011653,0.0011653
154,2407.4,0.86898,0.53805,1.17179,0.91577,0.85599,0.91664,0.60349,1.12009,0.60649,1.26569,0.001162,0.001162,0.001162
155,2422.65,0.88035,0.55079,1.18342,0.90949,0.8462,0.91752,0.63385,1.05301,0.5858,1.20659,0.0011587,0.0011587,0.0011587
156,2437.89,0.85633,0.52936,1.17276,0.91327,0.8537,0.92577,0.6163,1.13695,0.60079,1.29981,0.0011554,0.0011554,0.0011554
157,2453.28,0.86352,0.53127,1.16676,0.90838,0.85689,0.91868,0.61867,1.09821,0.59758,1.26477,0.0011521,0.0011521,0.0011521
158,2468.78,0.87544,0.54133,1.18444,0.89619,0.878,0.91999,0.62974,1.06226,0.57515,1.22258,0.0011488,0.0011488,0.0011488
159,2484.17,0.87191,0.53887,1.17753,0.92405,0.85291,0.91845,0.63054,1.05644,0.57312,1.22464,0.0011455,0.0011455,0.0011455
160,2499.41,0.862,0.53453,1.17131,0.89768,0.87129,0.91853,0.61395,1.08458,0.5819,1.25064,0.0011422,0.0011422,0.0011422
161,2514.7,0.86332,0.53219,1.16861,0.91134,0.86938,0.92329,0.62282,1.10439,0.59274,1.28139,0.00113889,0.00113889,0.00113889
162,2529.93,0.86376,0.53478,1.17056,0.93097,0.86315,0.92395,0.60901,1.1147,0.60092,1.27098,0.00113559,0.00113559,0.00113559
163,2545.2,0.88341,0.54307,1.18874,0.93955,0.85567,0.92671,0.63017,1.04474,0.58517,1.22614,0.00113229,0.00113229,0.00113229
164,2560.46,0.86909,0.53674,1.18655,0.93195,0.86173,0.92178,0.63612,1.03601,0.56837,1.21743,0.00112899,0.00112899,0.00112899
165,2575.73,0.84848,0.52363,1.16636,0.91065,0.8788,0.9322,0.64088,1.05078,0.55991,1.22332,0.00112569,0.00112569,0.00112569
166,2591.03,0.86122,0.53129,1.17142,0.91186,0.86627,0.9278,0.63722,1.04052,0.56317,1.21508,0.00112239,0.00112239,0.00112239
167,2606.26,0.85996,0.52989,1.15783,0.90851,0.86846,0.92283,0.62815,1.04067,0.57843,1.21659,0.00111909,0.00111909,0.00111909
168,2621.52,0.84233,0.51725,1.1588,0.91176,0.86233,0.91818,0.63604,1.04819,0.58358,1.21981,0.00111579,0.00111579,0.00111579
169,2636.69,0.8687,0.53428,1.18207,0.91651,0.86306,0.92188,0.6258,1.07955,0.58333,1.23925,0.00111249,0.00111249,0.00111249
170,2651.92,0.85805,0.52596,1.16854,0.91311,0.86825,0.923,0.62456,1.0765,0.5798,1.27419,0.00110919,0.00110919,0.00110919
171,2667.17,0.83855,0.52098,1.16229,0.92442,0.84908,0.91954,0.63536,1.05811,0.57943,1.22271,0.00110589,0.00110589,0.00110589
172,2682.51,0.85416,0.52921,1.17196,0.90701,0.86454,0.92105,0.62591,1.09166,0.5939,1.25625,0.00110259,0.00110259,0.00110259
173,2697.76,0.84698,0.51989,1.15672,0.89413,0.87108,0.91568,0.63947,1.04872,0.58337,1.23487,0.00109929,0.00109929,0.00109929
174,2713,0.83757,0.52327,1.16203,0.92379,0.86124,0.92212,0.63809,1.04664,0.56527,1.23098,0.00109599,0.00109599,0.00109599
175,2728.22,0.83991,0.52589,1.16561,0.91138,0.87077,0.91897,0.62539,1.0808,0.58377,1.2585,0.00109269,0.00109269,0.00109269
176,2743.5,0.84259,0.52103,1.15542,0.9209,0.88428,0.92754,0.62519,1.09646,0.58129,1.27752,0.00108938,0.00108938,0.00108938
